ds,yhat,yhat_lower,yhat_upper
1971-08-01,40.61310492325333,36.82267082327481,44.24002075826822
1971-09-01,40.91813709597776,37.31289644633735,44.72949106744495
1971-10-01,41.30347600696205,37.30978295993052,44.69356443420409
1971-11-01,41.69071659396931,38.03683749158285,45.28271720888868
1971-12-01,41.29286235944121,37.55118954321588,44.92554030446816
1972-01-01,41.7833602161647,38.06463980933186,45.243420287179305
1972-02-01,42.02405932145725,38.449312561455336,45.570112794743984
1972-03-01,42.31509095195384,38.59289959345108,46.09799185810641
1972-04-01,42.59141341227561,39.05444722929235,45.87561927993589
1972-05-01,42.96397796054082,39.50823373955104,46.322452274343355
1972-06-01,43.3918851355327,39.892044403372154,46.90688168848573
1972-07-01,43.71951299733507,40.10703026209912,47.44517820243244
1972-08-01,43.95328735402165,40.60507946276529,47.706258807424774
1972-09-01,44.23089185115594,40.71606814434636,47.814388385102816
1972-10-01,44.47191353169406,40.697245010464215,48.11372292438933
1972-11-01,44.64339229663251,40.71049568780315,47.97897041154002
1972-12-01,45.024238696134624,41.20805290890159,48.58569297137045
1973-01-01,45.21059895768901,41.49044484410733,48.75515785552887
1973-02-01,45.53834585825062,41.937726036165344,49.617079584048064
1973-03-01,45.698632454224416,42.061864514834106,49.47244980412141
1973-04-01,45.990486452558834,42.16324040435402,49.507329572557126
1973-05-01,46.322720765761396,42.61097813068378,49.884086199065386
1973-06-01,46.66775799935911,42.920672381024126,50.21376884859418
1973-07-01,46.964658946711204,43.349671023450405,50.54370751327056
1973-08-01,47.27733812519045,43.47466792690494,50.915820056954345
1973-09-01,47.56447850587905,44.08543504929815,51.045539338040086
1973-10-01,47.85454106742288,44.036833691078314,51.54888384684135
1973-11-01,48.102103808055425,44.67937600138748,51.72372247482703
1973-12-01,48.22324876572518,44.558647939673726,51.83326986221718
1974-01-01,48.50785068199118,44.947098394715134,52.16277845132395
1974-02-01,48.80556373633194,45.28421937434201,52.26353905124842
1974-03-01,49.085850297969586,45.40756763402927,52.81589635305073
1974-04-01,49.391009432506024,45.7483977634047,53.359531713192716
1974-05-01,49.680577540098085,46.15698802773888,53.32704455680323
1974-06-01,49.942942033295054,46.48383516154675,53.86741176338828
1974-07-01,50.211947003286134,46.697667034846994,54.06769785208643
1974-08-01,50.60468419306909,47.12092606116497,54.36679439877174
1974-09-01,50.90098462732804,47.286711790886976,54.3535375443107
1974-10-01,51.239180888609006,47.68735495551391,54.83233366039767
1974-11-01,51.55867247551243,47.855606833323066,55.32464768018042
1974-12-01,51.420159305801874,48.00912598077325,55.18449684150387
1975-01-01,51.806209295724635,48.17726762906875,55.29834565256719
1975-02-01,52.07496614458918,48.45458558822048,55.901144238955986
1975-03-01,52.47529910007563,48.874457773558625,55.97425164680667
1975-04-01,52.791252366330795,49.13250961428475,56.56650299193271
1975-05-01,53.0360989059994,49.53698329616686,56.65947798361436
1975-06-01,53.21631484218949,49.48190622798212,56.975831219576804
1975-07-01,53.46049612267561,50.1051462510931,57.087356948624695
1975-08-01,53.934561674399056,50.34222206665379,57.52539534999979
1975-09-01,54.23980312363367,50.66694128949589,57.977403749052556
1975-10-01,54.62534456027311,50.80058374945411,58.33221662229259
1975-11-01,55.01279442379055,50.71334823659596,58.58674580474892
1975-12-01,54.61514271491726,51.001704603865164,58.2273790784517
1976-01-01,55.10584984815109,51.448842798073876,59.190177254510004
1976-02-01,55.34675822995375,51.72424440661966,58.98946246590582
1976-03-01,55.63798563525024,52.2653023489381,59.30213158014538
1976-04-01,55.91451737208221,52.40455202755278,59.533907539409775
1976-05-01,56.28728444600238,52.798993071522986,59.84851758618675
1976-06-01,56.71540089750443,53.018383404372656,60.27395526786556
1976-07-01,57.04323128496189,53.48484840500311,60.82161061223703
1976-08-01,57.27721491815858,53.74126730068299,60.65443232718212
1976-09-01,57.66345948356968,54.043225041856076,61.03900678281904
1976-10-01,58.00961671405316,54.34595832853842,61.382230214122224
1976-11-01,58.289735547268435,54.60381358903818,61.8517183234726
1976-12-01,58.77571749671578,55.23813906083086,62.280007571600116
1977-01-01,59.07071782654704,55.371465684719084,62.84505098445111
1977-02-01,59.507104795385466,55.76036676965155,63.14744625873335
1977-03-01,59.76551790464145,56.01630671622915,63.43491716098272
1977-04-01,60.16601197125267,56.36683259596569,63.61960276501451
1977-05-01,60.603231841520056,56.70401198997706,64.32135503733926
1977-06-01,61.05675415075131,57.56394168066709,64.67895283955129
1977-07-01,61.45864065516818,57.79757219254474,64.85243935348147
1977-08-01,61.87980490928095,58.39090881711762,65.56759810282749
1977-09-01,62.27543036560315,58.89196635899072,65.77134500070149
1977-10-01,62.67047848421177,59.0800586850827,66.44336594841775
1977-11-01,63.02652630047784,59.61631258171879,66.70864700433981
1977-12-01,63.252656815212276,59.50569435633798,66.80314553510972
1978-01-01,63.645743807111984,60.173907281766944,67.0988647354304
1978-02-01,64.05194193708638,60.33958377059946,67.310032177147
1978-03-01,64.43021501865105,60.909932564531914,68.22558140761345
1978-04-01,64.84385922882132,61.0985685377167,68.2078922510914
1978-05-01,65.44701848531028,62.06240838578751,69.22213442874745
1978-06-01,66.03342716570093,62.39037132780282,69.70205646729366
1978-07-01,66.61602328458896,62.97265431567542,70.16460402544737
1978-08-01,67.33280466156559,63.79206949143184,70.69572531194783
1978-09-01,67.9531492830182,64.26036431475605,71.52989291037849
1978-10-01,68.60493669319621,64.96205738203989,72.1983901185663
1978-11-01,69.24847246729341,65.69025388919799,73.1390858904041
1978-12-01,69.4235504464799,65.74179451580315,73.1647580391698
