ds,yhat,yhat_lower,yhat_upper
1972-12-31,6.376161325325919,3.9139279169241274,8.978278953741622
1973-12-31,6.450320324834494,3.9469145298809445,9.12929344114303
1974-12-31,6.514593591197955,4.013223670614357,9.180227129501537
1975-12-31,6.568766808758061,4.200607870965396,9.242902552739764
1976-12-31,5.944021741542512,3.4571768946390242,8.481327284761655
1977-12-31,6.018180741120494,3.497855596279005,8.776498237602405
1978-12-31,6.082454007532809,3.5327711943715583,8.624844816101326
1979-12-31,6.136627225068867,3.6534681326882543,8.52498582103278
1980-12-31,5.511882157786827,3.1536249697663714,8.03072345060446
1981-12-31,5.586041157279505,2.943308727493418,7.95485041317858
1982-12-31,5.6503144236271465,3.2623189752646367,8.003180312433184
1983-12-31,5.7044876411718075,3.151990350496181,8.10657283725651
1984-12-31,5.079742573926694,2.7148392177322793,7.652960159556311
1985-12-31,5.153901573474809,2.744965632005166,7.543240642190454
1986-12-31,5.218174839850461,2.8650430758486434,7.811910661387907
1987-12-31,5.272348057442219,2.71545371216888,7.9555041981658485
1988-12-31,4.647602990217451,2.111680358737182,7.2284721003461705
1989-12-31,4.721761989797013,2.3682925718285883,7.177013591923871
1990-12-31,4.786035256231843,2.1418526619126865,7.278658125637117
1991-12-31,4.840208473815695,2.4020739353823704,7.228016029140347
1992-12-31,4.215463406577049,1.6357865373588611,6.682624271122534
1993-12-31,4.289622406132117,1.8431295306868754,6.828207846506183
1994-12-31,4.353902154277272,1.738780615728905,6.934454825148453
1995-12-31,4.408113191410592,1.6891532569566885,6.898908676073515
1996-12-31,3.78340604734071,1.0667158237424412,6.239964138629555
1997-12-31,3.8576028664766016,1.403508091532173,6.4363008717858285
1998-12-31,3.921913952467077,1.3944600720515936,6.468939428587754
1999-12-31,3.9761249897584534,1.4228023872600768,6.611164965690953
2000-12-31,3.3514178458838786,0.7610467208756624,5.959343360696926
2001-12-31,3.42561466518557,0.8603053259775229,5.846830097275824
2002-12-31,3.4899257516834545,1.124786934700526,6.145613455314421
2003-12-31,3.5441367894348117,0.9990395150914199,6.108831301629542
2004-12-31,2.919429645983977,0.3623739471597171,5.458951878308184
2005-12-31,2.993626465748014,0.5851482562957071,5.690031274218289
2006-12-31,3.0579375523669623,0.5187530846708784,5.574916908771926
2007-12-31,3.1121851177618116,0.3723537192151589,5.533474467367155
2008-12-31,2.487531323065854,-0.06370615399048887,4.952446004605771
2009-12-31,2.5617813457853726,0.06757453858846511,4.974738574558695
2010-12-31,2.6261456354025734,0.0559927999825566,5.228260887177197
2011-12-31,2.680409876241666,0.18628247269926868,5.135588425844106
2012-12-31,2.055756081641535,-0.5206730704219508,4.535954059365672
2013-12-31,2.13000610448427,-0.30194749747946936,4.801156697161621
2014-12-31,2.1943703941821155,-0.34546822165340496,4.669833800130238
2015-12-31,2.2486346350508697,-0.1954591198151734,4.779831224099894
2016-12-31,1.6239808404784393,-0.9242852910241387,4.261698081706621
2017-12-31,1.6982308633214735,-0.88031688051365,4.369620833785876
2018-12-31,1.7625951530191033,-0.6496411601609666,4.199543462139378
2019-12-31,1.8168593938861468,-0.5332365940075113,4.466079234436663
2020-12-31,1.1922055993163383,-1.2549508965955143,3.84619593663341
2021-12-31,1.2664556221575234,-1.2425587145554076,3.8991677452006877
2022-12-31,1.3308199118552064,-1.2690174253864146,4.032671948566943
2023-12-31,1.3850841527233486,-1.2310507189507243,3.8053810801285413
2024-12-31,0.7604303581508747,-1.6429588006412474,3.3084530502543097
2025-12-31,0.8346803809945644,-1.6795792073919174,3.418829039441425
2026-12-31,0.8990446706917687,-1.5908417779538233,3.361150406026583
2027-12-31,0.9533089115589846,-1.6317847331492263,3.370801821108589
2028-12-31,0.328655116987572,-2.1020552488354993,2.7113240835611463
