DATE,MSPUS,YoY Growth
1971-07-01,25300.0,
1971-10-01,25500.0,
1972-01-01,26200.0,
1972-04-01,26800.0,
1972-07-01,27900.0,10.276679841897241
1972-10-01,29200.0,14.50980392156862
1973-01-01,30200.0,15.267175572519086
1973-04-01,32700.0,22.014925373134318
1973-07-01,33500.0,20.07168458781361
1973-10-01,34000.0,16.43835616438356
1974-01-01,35200.0,16.55629139072847
1974-04-01,35600.0,8.868501529051986
1974-07-01,36200.0,8.059701492537318
1974-10-01,37200.0,9.411764705882364
1975-01-01,38100.0,8.238636363636353
1975-04-01,39000.0,9.550561797752799
1975-07-01,38800.0,7.182320441988943
1975-10-01,41200.0,10.752688172043001
1976-01-01,42800.0,12.335958005249337
1976-04-01,44200.0,13.33333333333333
1976-07-01,44400.0,14.432989690721643
1976-10-01,45500.0,10.436893203883502
1977-01-01,46300.0,8.177570093457941
1977-04-01,48900.0,10.633484162895934
1977-07-01,48800.0,9.90990990990992
1977-10-01,51600.0,13.406593406593403
1978-01-01,53000.0,14.470842332613397
1978-04-01,55300.0,13.087934560327197
1978-07-01,56100.0,14.959016393442614
1978-10-01,59000.0,14.341085271317834
1979-01-01,60600.0,14.33962264150943
1979-04-01,63100.0,14.10488245931283
1979-07-01,64700.0,15.329768270944744
1979-10-01,62600.0,6.10169491525423
1980-01-01,63700.0,5.115511551155105
1980-04-01,64000.0,1.4263074484944571
1980-07-01,64900.0,0.3091190108191588
1980-10-01,66400.0,6.070287539936103
1981-01-01,66800.0,4.866562009419151
1981-04-01,69400.0,8.437500000000009
1981-07-01,69200.0,6.6255778120184905
1981-10-01,70400.0,6.024096385542177
1982-01-01,66400.0,-0.5988023952095856
1982-04-01,69600.0,0.2881844380403509
1982-07-01,69300.0,0.14450867052022698
1982-10-01,71600.0,1.7045454545454586
1983-01-01,73300.0,10.391566265060238
1983-04-01,74900.0,7.614942528735624
1983-07-01,77400.0,11.688311688311682
1983-10-01,75900.0,6.00558659217878
1984-01-01,78200.0,6.684856753069579
1984-04-01,80700.0,7.743658210947935
1984-07-01,81000.0,4.651162790697683
1984-10-01,79900.0,5.270092226613965
1985-01-01,82800.0,5.882352941176472
1985-04-01,84300.0,4.4609665427509215
1985-07-01,83200.0,2.716049382716057
1985-10-01,86800.0,8.635794743429281
1986-01-01,88000.0,6.2801932367149815
1986-04-01,92100.0,9.2526690391459
1986-07-01,93000.0,11.778846153846146
1986-10-01,95000.0,9.447004608294929
1987-01-01,97900.0,11.250000000000004
1987-04-01,103400.0,12.269272529858855
1987-07-01,106000.0,13.978494623655923
1987-10-01,111500.0,17.36842105263159
1988-01-01,110000.0,12.35955056179776
1988-04-01,110000.0,6.382978723404253
1988-07-01,115000.0,8.490566037735858
1988-10-01,113900.0,2.152466367713002
1989-01-01,118000.0,7.272727272727275
1989-04-01,118900.0,8.090909090909083
1989-07-01,120000.0,4.347826086956519
1989-10-01,124800.0,9.569798068481127
1990-01-01,123900.0,5.000000000000004
1990-04-01,126800.0,6.644238856181661
1990-07-01,117000.0,-2.500000000000002
1990-10-01,121500.0,-2.644230769230771
1991-01-01,120000.0,-3.147699757869249
1991-04-01,119900.0,-5.441640378548895
1991-07-01,120000.0,2.564102564102555
1991-10-01,120000.0,-1.2345679012345734
1992-01-01,119500.0,-0.4166666666666652
1992-04-01,120000.0,0.08340283569641116
1992-07-01,120000.0,0.0
1992-10-01,126000.0,5.000000000000004
1993-01-01,125000.0,4.602510460251041
1993-04-01,127000.0,5.833333333333335
1993-07-01,127000.0,5.833333333333335
1993-10-01,127000.0,0.7936507936507908
1994-01-01,130000.0,4.0000000000000036
1994-04-01,130000.0,2.3622047244094446
1994-07-01,129700.0,2.1259842519685046
1994-10-01,132000.0,3.937007874015741
1995-01-01,130000.0,0.0
1995-04-01,133900.0,3.0000000000000027
1995-07-01,132000.0,1.7733230531996824
1995-10-01,138000.0,4.545454545454541
1996-01-01,137000.0,5.384615384615388
1996-04-01,139900.0,4.480955937266606
1996-07-01,140000.0,6.060606060606055
1996-10-01,144100.0,4.420289855072457
1997-01-01,145000.0,5.8394160583941535
1997-04-01,145800.0,4.217298070050046
1997-07-01,145000.0,3.571428571428581
1997-10-01,144200.0,0.0693962526023606
1998-01-01,152200.0,4.9655172413793025
1998-04-01,149500.0,2.5377229080932873
1998-07-01,153000.0,5.517241379310356
1998-10-01,153000.0,6.102635228848818
1999-01-01,157400.0,3.41655716162943
1999-04-01,158700.0,6.153846153846154
1999-07-01,159100.0,3.9869281045751714
1999-10-01,165300.0,8.039215686274503
2000-01-01,165300.0,5.019059720457442
2000-04-01,163200.0,2.835538752362954
2000-07-01,168800.0,6.09679446888749
2000-10-01,172900.0,4.597701149425282
2001-01-01,169800.0,2.722323049001818
2001-04-01,179000.0,9.681372549019617
2001-07-01,172500.0,2.1919431279620927
2001-10-01,171100.0,-1.0410641989589409
2002-01-01,188700.0,11.130742049469955
2002-04-01,187200.0,4.5810055865921795
2002-07-01,178100.0,3.2463768115942093
2002-10-01,190100.0,11.104617182933962
2003-01-01,186000.0,-1.4308426073131986
2003-04-01,191800.0,2.4572649572649485
2003-07-01,191900.0,7.748455923638398
2003-10-01,198800.0,4.576538663861118
2004-01-01,212700.0,14.35483870967742
2004-04-01,217600.0,13.451511991657972
2004-07-01,213500.0,11.255862428348106
2004-10-01,228800.0,15.090543259557343
2005-01-01,232500.0,9.30888575458393
2005-04-01,233700.0,7.398897058823528
2005-07-01,236400.0,10.725995316159253
2005-10-01,243600.0,6.468531468531458
2006-01-01,247700.0,6.537634408602155
2006-04-01,246300.0,5.391527599486512
2006-07-01,235600.0,-0.33840947546531774
2006-10-01,245400.0,0.738916256157629
2007-01-01,257400.0,3.9160274525635863
2007-04-01,242200.0,-1.6646366220056885
2007-07-01,241800.0,2.6315789473684292
2007-10-01,238400.0,-2.8524857375713086
2008-01-01,233900.0,-9.12975912975913
2008-04-01,235300.0,-2.8488852188274127
2008-07-01,226500.0,-6.327543424317616
2008-10-01,222500.0,-6.669463087248317
2009-01-01,208400.0,-10.90209491235571
2009-04-01,220900.0,-6.1198470038249075
2009-07-01,214300.0,-5.386313465783665
2009-10-01,219000.0,-1.573033707865168
2010-01-01,222900.0,6.957773512476018
2010-04-01,219500.0,-0.6337709370755951
2010-07-01,224100.0,4.573028464769013
2010-10-01,224300.0,2.4200913242009126
2011-01-01,226900.0,1.794526693584575
2011-04-01,228100.0,3.9179954441913356
2011-07-01,223500.0,-0.2677376171352108
2011-10-01,221100.0,-1.4266607222469863
2012-01-01,238400.0,5.068312031732036
2012-04-01,238700.0,4.647084612012264
2012-07-01,248800.0,11.319910514541398
2012-10-01,251700.0,13.839891451831754
2013-01-01,258400.0,8.389261744966436
2013-04-01,268100.0,12.316715542521983
2013-07-01,264800.0,6.430868167202575
2013-10-01,273600.0,8.700834326579265
2014-01-01,275200.0,6.5015479876161075
2014-04-01,288000.0,7.422603506154424
2014-07-01,281000.0,6.1178247734138935
2014-10-01,298900.0,9.24707602339181
2015-01-01,289200.0,5.087209302325579
2015-04-01,289100.0,0.38194444444443754
2015-07-01,295800.0,5.266903914590748
2015-10-01,302500.0,1.2044161927065922
2016-01-01,299800.0,3.665283540802222
2016-04-01,306000.0,5.845728121757188
2016-07-01,303800.0,2.704530087897239
2016-10-01,310900.0,2.776859504132223
2017-01-01,313100.0,4.436290860573711
2017-04-01,318200.0,3.9869281045751714
2017-07-01,320500.0,5.497037524687287
2017-10-01,337900.0,8.684464458025086
